index,id,username,text,created_at,annotator_1,annotator_2,annotator_3,consensus,machine_label,machine_decision
0,1423328360982355972,TheWECHU,"If you or someone you care about is struggling with an addiction to alcohol or other drugs, there is support in Windsor-Essex to help you. \n\nFrom a simple helpline telephone call, to individual or group sessions of support, find local help at https://t.co/HUi7loDPVB\n#YQG #alcohol https://t.co/PurfLOcGQZ",2021-08-05T17:01:40.000Z,False,False,False,False,drug addiction support,False
1,1422603523661905928,TheWECHU,"Just like socks and sandals, alcohol and cannabis shouldn't go together. Mixing alcohol and cannabis increases impairment and your risk of harm.\n\nIf you choose to use alcohol or cannabis, use one at a time.\n\nhttps://t.co/mzdNBrL3WJ \n\n#Cannabis #YourQuestionsAnswered\n#alcohol https://t.co/3f21kzhw5R",2021-08-03T17:01:25.000Z,False,False,False,False,other,False
2,1423312851217928197,NiagaraRegion,NEW Bid Opportunity: 2021-T-183 Glenridge Quarry Naturalization Site - Seep Repair\n\nBid details: https://t.co/clWAOkG4uC https://t.co/wd9XkI2aIp,2021-08-05T16:00:02.000Z,False,False,False,False,other,False
3,1422920261284765702,NiagaraRegion,NEW Bid Opportunity: 2021-T-164 Annual Crack Sealing Program Various Locations in the Niagara Region\n\nBid details: https://t.co/Nly7Gfczxe https://t.co/TVSw7bDd1k,2021-08-04T14:00:01.000Z,False,False,False,False,drug addiction support,False
4,1423351392740298760,TOPublicHealth,"DYK there are anonymous & non-judgmental services available to people who use drugs, reducing the risk of fatal overdose: the 24/7 OD response service at 1-888-688-6677 or the Be Safe app: https://t.co/30wOgtuKdl. https://t.co/UDOP3BVvNZ",2021-08-05T18:33:11.000Z,False,False,False,False,drug addiction support,False
5,1423041251625078791,TOPublicHealth,"#DrugAlert: Paramedics attended a EMOJI\x86 # of #overdose calls from July 30-Aug 3. If possible, pls don't use drugs alone. Use a consumption site, have someone check on you or call the 24/7 OD line (1-888-688-6677) & check your supply w/drug checking services: https://t.co/5xfDELo0C3",2021-08-04T22:00:47.000Z,True,True,False,True,public safety report,False
6,1423019762288926721,TOPublicHealth,ICYMI https://t.co/M8f9QJiPFP,2021-08-04T20:35:24.000Z,False,False,False,False,other,False
7,1422671613292646402,EOHU_tweet,https://t.co/s55cBmPi76,2021-08-03T21:31:59.000Z,False,False,False,False,other,False
8,1423015698935304198,OttawaHealth,ICYMI https://t.co/vDekwif1uC,2021-08-04T20:19:15.000Z,False,False,False,False,other,False
9,1422941289675362304,OttawaHealth,What is your #MyWhy? https://t.co/UBemncYdDA,2021-08-04T15:23:35.000Z,False,False,False,False,other,False
10,1423316675454193666,SMDhealthunit,"Know the signs of an overdose. If you suspect an overdose call 911, use Naloxone if available. \n\nStay with the person until help arrives, the Good Samaritan Drug Overdose Act provides some legal protection for people who call 911 or need emergency help during an overdose. https://t.co/gYk5FTjtnZ",2021-08-05T16:15:14.000Z,False,False,False,False,drug addiction support,False
11,1423025959662456846,AlgomaHealth,"Being an Olympic athlete takes training and dedication. No matter how hard you train, the last 20 metres are the toughest, but Andre de Grasse pulled through and won Let's push through that last 20 metres, Algoma. We're almost there, be like Andre, and let's finish this! https://t.co/hyRV71kMCr",2021-08-04T21:00:01.000Z,False,False,False,False,other,False
12,1422610718428307463,AlgomaHealth,https://t.co/EOwa5exAGG,2021-08-03T17:30:00.000Z,False,False,False,False,other,False
